,highly_variable
Gm13536,False
Zbtb43,False
Gm13530,False
Lmx1b,False
C130021I20Rik,False
Mvb12b,False
Gm13404,False
C230014O12Rik,False
Pbx3,False
Mapkap1,False
Gapvd1,False
Hspa5,False
Rabepk,False
Fbxw2,False
Psmd5,False
Cutal,False
Phf19,True
Traf1,False
Hc,False
AI182371,False
Cntrl,False
Rab14,False
Gsn,True
Stom,False
Ggta1,False
Dab2ip,False
Ttll11,False
Ndufa8,False
Morn5,False
Lhx6,False
Rbm18,False
Mrrf,False
Ptgs1,False
Pdcl,False
Rc3h2,False
Zbtb6,False
Zbtb26,False
Rabgap1,False
Strbp,False
Gpr21,False
Crb2,False
Dennd1a,False
Lhx2,True
Gm27197,False
Gm13589,False
Nek6,False
Psmb7,False
Nr5a1,False
Nr5a1os,False
Nr6a1,False
Olfml2a,False
Gm13496,False
Wdr38,False
Rpl35,False
Arpc5l,False
Golga1,False
Scai,False
Ppp6c,False
Lrp1b,False
Kynu,False
Arhgap15,False
Gtdc1,False
Zeb2,True
Zeb2os,False
Gm13470,False
Gm13481,False
Acvr2a,False
Orc4,False
Mbd5,False
Epc2,False
Kif5c,False
Lypd6b,True
Lypd6,True
Mmadhc,False
Gm13483,False
Rnd3,False
Rbm43,False
Nmi,False
Tnfaip6,True
Rif1,False
Neb,False
Arl5a,False
Cacnb4,False
Stam2,False
Fmnl2,True
Prpf40a,False
Arl6ip6,False
Rprm,True
Galnt13,False
Gm14033,False
Gm26794,False
Kcnj3,False
Nr4a2,True
Gpd2,False
Gm33594,True
Galnt5,False
Ermn,True
Cytip,False
Gm13546,True
Acvr1c,False
Gm13544,False
Acvr1,False
Upp2,False
Ccdc148,False
Pkp4,False
Dapl1,True
Tanc1,True
Wdsub1,False
Baz2b,True
Gm13572,False
Gm13620,False
March7,False
Cd302,False
Ly75,False
Pla2r1,False
Itgb6,False
Rbms1,True
Tank,False
Psmd14,False
Tbr1,True
Slc4a10,False
Dpp4,False
Fap,False
Ifih1,False
Gca,False
Kcnh7,True
Fign,True
Grb14,True
Cobll1,False
Gm13594,False
Slc38a11,True
Scn3a,False
Scn2a,False
Csrnp3,False
Gm13619,False
Galnt3,False
Ttc21b,False
Scn1a,True
Gm13629,False
Scn9a,False
Scn7a,False
Xirp2,False
Gm13601,False
B3galt1,False
Stk39,False
Cers6,False
Nostrin,False
Spc25,False
Lrp2,False
Bbs5,False
Klhl41,False
Fastkd1,False
Ppig,False
Ccdc173,False
Phospho2,False
Klhl23,False
Ssb,False
Mettl5,False
Mettl5os,False
Ubr3,False
Myo3b,False
Sp5,False
Gad1os,False
Erich2,False
Gad1,True
Gm26558,False
Gorasp2,False
Tlk1,False
Mettl8,False
Dcaf17,True
Cybrd1,True
Dync1i2,False
Slc25a12,False
Hat1,False
Metap1d,False
Dlx1as,False
Dlx1,False
Dlx2,False
Platr26,False
Itga6,False
Pdk1,False
Rapgef4,True
Map3k20,False
Cdca7,False
6430710C18Rik,False
Sp3,False
Sp3os,False
Ola1,False
Sp9,False
Cir1,False
Scrn3,False
Gpr155,False
Wipf1,True
Chrna1,False
Chrna1os,False
Chn1os3,False
Chn1,True
Chn1os1,False
Atf2,False
Atp5g3,False
Lnpk,False
Hoxd1,True
Mtx2,False
2600014E21Rik,False
Hnrnpa3,False
Nfe2l2,True
Agps,False
Ttc30b,False
Ttc30a2,False
Ttc30a1,False
Pde11a,False
Rbm45,False
Osbpl6,False
Prkra,False
Pjvk,False
Fkbp7,False
Plekha3,False
Ttn,True
Ccdc141,False
Sestd1,False
Zfp385b,False
Cwc22,False
Ube2e3,False
Itga4,False
Cerkl,False
Neurod1,False
Ssfa2,False
Pde1a,True
Dnajc10,False
Frzb,False
Nckap1,False
Dusp19,False
Nup35,False
Zfp804a,True
Zc3h15,False
Itgav,False
Fam171b,False
Calcrl,False
Tfpi,False
Gm13710,False
Ctnnd1,False
Selenoh,False
Tmx2,False
Med19,False
Zdhhc5,False
Clp1,False
Ypel4,False
Gm19426,False
Serping1,True
Ube2l6,True
Timm10,False
Slc43a1,False
Rtn4rl2,False
Slc43a3,False
P2rx3,True
Ssrp1,False
Tnks1bp1,False
Aplnr,False
Gm13713,False
Lrrc55,False
Gm13715,False
4833423E24Rik,False
Olfr1033,False
Olfr1124,True
Ptprj,False
Nup160,False
Fnbp4,False
Agbl2,False
Mtch2,False
C1qtnf4,False
Ndufs3,False
