Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cluster
GO_Biological_Process_2023,Negative Regulation Of Rho Protein Signal Transduction (GO:0035024),2/17,0.0032052883489498,0.0327139444544957,0,0,27.05442176870748,155.3722787250682,STMN1;DYNLL1,0
GO_Biological_Process_2023,Heart Morphogenesis (GO:0003007),3/59,0.0032188419242375,0.0327139444544957,0,0,10.959499263622977,62.89364704662167,FKBP1A;OLFM1;DYNLL1,0
GO_Biological_Process_2023,Positive Regulation Of Defense Response (GO:0031349),4/124,0.0034901927235166,0.0351134540668947,0,0,6.868055555555555,38.85807320211981,MEF2C;CAMK2N1;CX3CL1;SNCA,0
GO_Biological_Process_2023,Negative Regulation Of Kinase Activity (GO:0033673),3/62,0.0037044719565665,0.0368965406874025,0,0,10.400663987419186,58.22514848728369,CAMK2N1;PPIA;SNCA,0
GO_Biological_Process_2023,Regulation Of Early Endosome To Late Endosome Transport (GO:2000641),2/19,0.0040040456388033,0.0383464370793088,0,0,23.869147659063625,131.7684366549516,MAPK1;MAPK3,0
GO_Biological_Process_2023,Regulation Of Granulocyte Chemotaxis (GO:0071622),2/19,0.0040040456388033,0.0383464370793088,0,0,23.869147659063625,131.7684366549516,MAPK1;MAPK3,0
GO_Biological_Process_2023,Cellular Response To Catecholamine Stimulus (GO:0071870),2/19,0.0040040456388033,0.0383464370793088,0,0,23.869147659063625,131.7684366549516,APLP1;SNCA,0
GO_Biological_Process_2023,Negative Regulation Of Calcium Ion Transmembrane Transport (GO:1903170),2/19,0.0040040456388033,0.0383464370793088,0,0,23.869147659063625,131.7684366549516,FKBP1A;CALM2,0
GO_Biological_Process_2023,Regulation Of Cell-Matrix Adhesion (GO:0001952),3/65,0.0042325222263702,0.0401484965472837,0,0,9.895909544396408,54.0807220421003,ENC1;CX3CL1;ACTG1,0
GO_Biological_Process_2023,Regulation Of Macrophage Chemotaxis (GO:0010758),2/20,0.004434499847536,0.0405207509004211,0,0,22.54195011337869,122.13995997533476,MAPK1;MAPK3,0
GO_Biological_Process_2023,Stress-Activated Protein Kinase Signaling Cascade (GO:0031098),2/20,0.004434499847536,0.0405207509004211,0,0,22.54195011337869,122.13995997533476,MAPK1;MAPK3,0
GO_Biological_Process_2023,Striated Muscle Cell Differentiation (GO:0051146),2/20,0.004434499847536,0.0405207509004211,0,0,22.54195011337869,122.13995997533476,MEF2C;PLD3,0
GO_Biological_Process_2023,Microglial Cell Activation (GO:0001774),2/20,0.004434499847536,0.0405207509004211,0,0,22.54195011337869,122.13995997533476,CX3CL1;SNCA,0
GO_Biological_Process_2023,Vesicle-Mediated Transport (GO:0016192),7/411,0.0045785878167927,0.0414570315047779,0,0,3.632279356967955,19.56478118303958,ARF3;NSG2;AP1S1;SYP;DNM1;VAMP2;NCALD,0
GO_Biological_Process_2023,Regulation Of Neurotransmitter Transport (GO:0051588),2/21,0.0048853872583166,0.0434450509757448,0,0,21.354457572502685,113.63788950907964,MEF2C;CPLX2,0
GO_Biological_Process_2023,Response To Cadmium Ion (GO:0046686),2/21,0.0048853872583166,0.0434450509757448,0,0,21.354457572502685,113.63788950907964,MAPK1;MAPK3,0
GO_Biological_Process_2023,Regulation Of Heart Contraction (GO:0008016),3/69,0.0050044009602974,0.0441095872252765,0,0,9.294283036551075,49.23588406625014,CALM3;CALM1;CALM2,0
GO_Biological_Process_2023,Acetylcholine Receptor Signaling Pathway (GO:0095500),2/22,0.0053564969577325,0.0448325291588374,0,0,20.285714285714285,106.08302856731788,LYPD1;LY6H,0
GO_Biological_Process_2023,Regulation Of Mononuclear Cell Migration (GO:0071675),2/22,0.0053564969577325,0.0448325291588374,0,0,20.285714285714285,106.08302856731788,MAPK1;MAPK3,0
GO_Biological_Process_2023,Cellular Response To Cadmium Ion (GO:0071276),2/22,0.0053564969577325,0.0448325291588374,0,0,20.285714285714285,106.08302856731788,MAPK1;MAPK3,0
GO_Biological_Process_2023,Cellular Response To Interferon-Beta (GO:0035458),2/22,0.0053564969577325,0.0448325291588374,0,0,20.285714285714285,106.08302856731788,CAMK2A;CALM1,0
GO_Biological_Process_2023,Regulation Of Telomere Capping (GO:1904353),2/22,0.0053564969577325,0.0448325291588374,0,0,20.285714285714285,106.08302856731788,MAPK1;MAPK3,0
GO_Biological_Process_2023,Cytoskeleton-Dependent Intracellular Transport (GO:0030705),2/22,0.0053564969577325,0.0448325291588374,0,0,20.285714285714285,106.08302856731788,TUBA1A;TUBB2A,0
GO_Biological_Process_2023,Phosphorylation (GO:0016310),7/429,0.005761625118072,0.0478214884799979,0,0,3.4741374917189014,17.91451402191253,PRKCG;PRKAR1B;PRKCE;CAMK2A;MAPK1;YWHAZ;MAPK3,0
GO_Biological_Process_2023,Positive Regulation Of Protein Kinase Activity (GO:0045860),4/145,0.0060705964311707,0.0495502883038595,0,0,5.838947990543735,29.80373300198641,CALM3;CALM1;CALM2;SNCA,0
GO_Biological_Process_2023,Negative Regulation Of Neuron Apoptotic Process (GO:0043524),3/74,0.006081441880416,0.0495502883038595,0,0,8.637578045593147,44.07335823715741,PRKCG;MEF2C;CX3CL1,0
GO_Biological_Process_2023,Neuron Projection Morphogenesis (GO:0048812),4/146,0.0062180695742672,0.0495502883038595,0,0,5.797535211267606,29.45319365798237,GPM6A;PLPPR4;APLP1;CCK,0
